Abacate Açaí Banana Cacau Laranja Maçã Mamão Manga
212873 1335040 6584967 235809 17492882 1307642 1058487 1089882
236177 1301472 6723590 239318 16841549 1203007 1065421 1320458
242932 1398328 6812708 259425 17073593 1222970 1161808 1414338
